CDID,Title,PreUnit,Unit,Release Date,Next release,Important Notes
A2F9,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Regular Pay,,,2024-09-10,2024-10-15,
A2FA,AWE: Whole Economy Real Terms Year on Year three Month Growth (%): Seasonally Adjusted Regular Pay,,,2024-09-10,2024-10-15,
A2FC,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Regular Pay,£,,2024-09-10,2024-10-15,
A3WV,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Total Pay,,,2024-09-10,2024-10-15,
A3WW,AWE: Whole Economy Real Terms Year on Year Three Month Growth (%): Seasonally Adjusted Total Pay,,,2024-09-10,2024-10-15,
A3WX,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Total Pay,£,,2024-09-10,2024-10-15,
A48O,Employment rate Canada (OECD) seasonally adjusted,,,2024-09-10,2024-10-15,
A48P,Employment Rate Japan (OECD) seasonally adjusted,,,2024-09-10,2024-10-15,
A48Q,Employment Rate United States (OECD) seasonally adjusted,,,2024-09-10,2024-10-15,
A48Z,"Standardised ILO unemployment rates, seasonally adjusted, Romania - Eurostat",,,2024-09-10,2024-10-15,
A492,"Standardised ILO unemployment rates, seasonally adjusted, Bulgaria - Eurostat",,,2024-09-10,2024-10-15,
A493,Standardised ILO Unemployment rates - Total EU,,,2024-09-10,2024-10-15,
A494,International Comparison Employment rates - Romania,,,2024-09-10,2024-10-15,
A495,International Comparison employment rates - Bulgaria,,,2024-09-10,2024-10-15,
A496,International Comparison - Employment rates - Total EU,,,2024-09-10,2024-10-15,
A4AC,International Comparison Employment Rates - Cyprus,,,2024-09-10,2024-10-15,
A4AD,International Comparison Employment Rates - Czech Republic,,,2024-09-10,2024-10-15,
A4AE,International Comparison Employment Rates - Estonia,,,2024-09-10,2024-10-15,
A4AF,International Comparison Employment Rates - Hungary,,,2024-09-10,2024-10-15,
A4AG,International Comparison Employment Rates - Latvia,,,2024-09-10,2024-10-15,
A4AH,International Comparison Employment Rates - Lithuania,,,2024-09-10,2024-10-15,
A4AI,International Comparison Employment Rates - Malta,,,2024-09-10,2024-10-15,
A4AJ,International Comparison Employment Rates - Poland,,,2024-09-10,2024-10-15,
A4AK,International Comparison Employment Rates - Slovak Republic,,,2024-09-10,2024-10-15,
A4AL,International Comparison Employment Rates - Slovenia,,,2024-09-10,2024-10-15,
A4AN,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Cyprus Eurostat,,,2024-09-10,2024-10-15,
A4AO,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Czech Republic Eurostat,,,2024-09-10,2024-10-15,
A4AP,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Estonia Eurostat,,,2024-09-10,2024-10-15,
A4AQ,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Hungary Eurostat,,,2024-09-10,2024-10-15,
A4AR,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Latvia Eurostat,,,2024-09-10,2024-10-15,
A4AS,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Lithuania Eurostat,,,2024-09-10,2024-10-15,
A4AT,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Malta Eurostat,,,2024-09-10,2024-10-15,
A4AU,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Poland Eurostat,,,2024-09-10,2024-10-15,
A4AV,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovak Republic Eurostat,,,2024-09-10,2024-10-15,
A4AW,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovenia Eurostat,,,2024-09-10,2024-10-15,
AGNH,LFS: In employment: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNI,LFS: In employment: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNJ,LFS: In employment: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNK,LFS: In employment: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNL,LFS: In employment: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNM,LFS: In employment: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNN,LFS: In employment: Aged 16-17: Not in full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNO,LFS: In employment: Aged 18-24: Not in full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNP,LFS: In employment: Aged 16-24: Not in full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNR,LFS: In employment: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNS,LFS: In employment: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNT,LFS: In employment: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNU,LFS: In employment: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNV,LFS: In employment: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNW,LFS: In employment: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNX,LFS: In employment: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNY,LFS: In employment: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGNZ,LFS: In employment: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOJ,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOK,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOL,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOM,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGON,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOO,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOP,LFS: Unemployed: Aged 16-17: Not in full-time educ.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOQ,LFS: Unemployed: Aged 18-24: Not in full-time educ.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOR,LFS: Unemployed: Aged 16-24: Not in full-time educ.: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOS,LFS: Unemployed: Aged 16-17: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOT,LFS: Unemployed: Aged 18-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOU,LFS: Unemployed: Aged 16-24: In full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOV,LFS: Unemployed: Aged 16-17: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOW,LFS: Unemployed: Aged 18-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOX,LFS: Unemployed: Aged 16-24: In full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOY,LFS: Unemployed: Aged 16-17: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGOZ,LFS: Unemployed: Aged 18-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPA,LFS: Unemployed: Aged 16-24: In full-time education: UK: Female: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPK,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPL,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPM,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: All: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPN,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPO,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
AGPP,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,,000's,2024-09-10,2024-10-15,
