local_authority_code,local_authority_name,total,total,total,total,total,total,total,total,asian,asian,asian,asian,asian,asian,asian,asian,black_british,black_british,black_british,black_british,black_british,black_british,black_british,black_british,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,mixed_multiple,white,white,white,white,white,white,white,white,other,other,other,other,other,other,other,other
,,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other,total,no_qualification,level_1,level_2,apprenticeship,level_3,level_4,other
E06000001,Hartlepool,74688,17286,7076,10963,5205,13778,18525,1855,1182,286,103,138,28,129,459,39,279,45,34,37,16,38,92,17,376,71,23,73,14,73,114,8,72451,16716,6869,10681,5124,13521,17770,1770,400,168,47,34,23,17,90,21
E06000002,Middlesbrough,113935,27281,11221,15271,7040,19974,30125,3023,11159,2757,1023,1198,285,1395,4094,407,2714,560,228,221,74,253,1313,65,1615,268,150,261,74,335,491,36,96109,22833,9581,13414,6507,17789,23585,2400,2338,863,239,177,100,202,642,115
E06000003,Redcar and Cleveland,112344,24731,10986,15663,8693,21300,28003,2968,902,227,83,108,25,92,327,40,222,31,23,17,10,28,105,8,618,93,48,116,32,117,201,11,110240,24245,10786,15402,8613,21028,27273,2893,362,135,46,20,13,35,97,16
E06000004,Stockton-on-Tees,158016,29441,15327,23006,10567,29004,46648,4023,6615,1491,598,711,105,782,2682,246,1515,217,125,192,40,157,735,49,1453,170,99,228,92,284,555,25,147216,27262,14404,21788,10277,27680,42173,3632,1217,301,101,87,53,101,503,71
E06000005,Darlington,88106,16971,8276,12733,6216,16140,25517,2253,2231,468,212,223,79,223,950,76,529,51,46,51,24,83,257,17,789,88,49,126,43,172,295,16,83902,16142,7911,12284,6034,15618,23803,2110,655,222,58,49,36,44,212,34
E06000047,County Durham,433951,90804,41358,61724,27058,86414,116018,10575,6740,1010,332,454,128,1375,3173,268,1384,99,94,129,51,301,672,38,2994,300,142,399,68,1043,994,48,421210,89104,40674,60647,26759,83464,110415,10147,1623,291,116,95,52,231,764,74
E06000057,Northumberland,268844,48173,26051,38871,18625,47692,82650,6782,2713,545,188,275,59,283,1277,86,498,45,57,29,20,53,257,37,1335,142,103,249,41,251,527,22,263521,47273,25596,38262,18448,47037,80314,6591,777,168,107,56,57,68,275,46
E08000021,Newcastle upon Tyne,248452,46232,19729,25892,11944,52768,86063,5824,26227,5126,1868,1998,442,3624,12175,994,6613,1060,549,663,265,979,2863,234,4218,408,245,391,96,1278,1727,73,204842,37820,16536,22415,10982,46276,66633,4180,6552,1818,531,425,159,611,2665,343
E08000022,North Tyneside,171510,29967,16025,24300,11773,28969,56374,4102,4127,761,282,385,75,393,2094,137,926,89,46,80,31,141,509,30,1527,188,101,235,70,267,640,26,163981,28718,15527,23526,11565,28080,52730,3835,949,211,69,74,32,88,401,74
E08000023,South Tyneside,121291,24849,12323,17391,9706,22265,31708,3049,3135,745,295,369,81,379,1127,139,543,57,43,57,22,80,270,14,1216,192,114,177,62,203,448,20,115481,23576,11789,16708,9518,21512,29552,2826,916,279,82,80,23,91,311,50
E08000024,Sunderland,226075,51667,24531,33553,16312,38679,55535,5798,6139,1232,522,638,155,707,2649,236,1996,154,116,138,37,200,1293,58,1303,172,92,207,46,254,504,28,215453,49811,23718,32498,16034,37408,50565,5419,1184,298,83,72,40,110,524,57
E08000037,Gateshead,161744,34973,16021,22280,11628,27436,45249,4157,3777,852,302,291,66,387,1716,163,1520,204,142,167,46,209,708,44,1299,160,106,163,53,262,526,29,153058,33065,15241,21494,11392,26412,41660,3794,2090,692,230,165,71,166,639,127
E06000006,Halton,103949,21866,12338,17402,5718,19057,24876,2692,1142,252,98,110,25,94,524,39,423,96,40,38,14,40,188,7,1085,154,115,189,35,225,348,19,100724,21156,12028,17022,5613,18629,23676,2600,575,208,57,43,31,69,140,27
E06000007,Warrington,172719,28453,17236,25491,10298,29829,56955,4457,5250,859,364,462,75,440,2855,195,1210,124,89,139,46,126,661,25,1763,183,148,329,58,337,680,28,163135,26894,16522,24456,10077,28813,52241,4132,1361,393,113,105,42,113,518,77
E06000008,Blackburn with Darwen,119514,28925,12968,16575,6550,18824,32054,3618,38919,10779,4343,5337,728,5701,10568,1463,964,156,84,122,50,93,423,36,1343,211,120,240,46,243,457,26,76831,17292,8279,10759,5683,12655,20151,2012,1457,487,142,117,43,132,455,81
E06000009,Blackpool,116337,28574,13677,17468,7889,19380,26176,3173,2933,587,268,266,77,260,1357,118,583,111,53,66,15,74,245,19,1216,205,131,212,59,250,338,21,110906,27444,13167,16865,7714,18712,24035,2969,699,227,58,59,24,84,201,46
E06000049,Cheshire East,329475,49525,28569,45115,19394,55375,123787,7710,7631,1143,475,525,186,633,4409,260,1988,193,142,150,82,220,1153,48,3690,458,280,619,121,646,1506,60,313583,46963,27503,43652,18907,53668,115671,7219,2583,768,169,169,98,208,1048,123
E06000050,Cheshire West and Chester,295358,46770,27465,40468,15914,52461,105388,6892,5671,845,393,449,109,548,3140,187,1685,137,98,146,30,255,959,60,2918,311,189,475,78,609,1194,62,283369,45109,26655,39262,15643,50835,99355,6510,1715,368,130,136,54,214,740,73
,Cumberland,227858,46647,23234,32264,16997,40160,62867,5689,2271,512,186,184,67,189,1036,97,478,34,18,51,14,52,292,17,1146,144,98,171,40,223,445,25,223183,45723,22871,31806,16845,39622,60794,5522,780,234,61,52,31,74,300,28
,Westmorland and Furness,192171,30786,17565,25591,15528,34648,63596,4457,1812,330,126,154,43,174,918,67,472,31,23,36,13,92,270,7,1155,109,88,181,42,236,485,14,188175,30186,17296,25176,15408,34070,61705,4334,557,130,32,44,22,76,218,35
E07000117,Burnley,75195,18347,8369,10415,4921,12607,18299,2237,9586,3000,1211,1276,205,1137,2345,412,261,55,19,37,7,30,107,6,772,171,92,135,37,133,193,11,64030,14916,6969,8934,4645,11261,15526,1779,546,205,78,33,27,46,128,29
E07000118,Chorley,96371,15422,9006,13468,6465,17263,32614,2133,1711,328,154,211,31,195,732,60,537,53,42,62,18,82,272,8,981,108,95,164,37,193,368,16,92772,14863,8682,12989,6370,16758,31086,2024,370,70,33,42,9,35,156,25
E07000119,Fylde,69245,11118,6406,9602,4387,12055,23868,1809,961,138,63,96,23,103,498,40,272,36,24,23,7,34,141,7,663,72,67,112,31,106,272,3,67045,10799,6217,9350,4312,11783,22835,1749,304,73,35,21,14,29,122,10
E07000120,Hyndburn,65636,14950,6846,9321,4780,11527,16516,1696,8400,2706,1056,1124,171,1185,1864,294,177,20,21,20,4,27,82,3,521,98,68,78,28,90,150,9,56162,11993,5636,8068,4564,10198,14326,1377,376,133,65,31,13,27,94,13
E07000121,Lancaster,119644,18884,10309,15000,6790,27060,38664,2937,4374,493,209,365,59,1063,2007,178,995,64,32,89,14,289,492,15,1383,107,82,160,34,497,487,16,111886,18047,9927,14323,6641,25057,35219,2672,1006,173,59,63,42,154,459,56
E07000122,Pendle,75224,18640,8007,9741,4852,12520,19087,2377,17405,5929,2056,2067,339,2392,3894,728,190,25,22,29,15,26,65,8,749,141,80,113,38,139,223,15,56247,12288,5772,7494,4435,9921,14768,1569,633,257,77,38,25,42,137,57
E07000123,Preston,118667,23076,11143,15244,6410,21666,37641,3487,22410,4560,2100,2752,416,3380,8363,839,2818,350,194,258,120,507,1309,80,2290,285,181,418,83,581,699,43,89023,17365,8465,11642,5729,16945,26463,2414,2126,516,203,174,62,253,807,111
E07000124,Ribble Valley,51460,6801,4056,6747,3474,8861,20456,1065,964,163,59,90,21,123,486,22,102,9,5,21,7,15,44,1,385,29,15,54,14,80,189,4,49866,6573,3972,6567,3428,8623,19675,1028,143,27,5,15,4,20,62,10
E07000125,Rossendale,57296,10672,5431,8145,3654,10560,17563,1271,2768,762,332,353,51,415,769,86,156,19,15,20,3,28,67,4,523,56,45,86,16,117,199,4,53643,9760,5027,7675,3576,9987,16449,1169,206,75,12,11,8,13,79,8
E07000126,South Ribble,91501,14356,8780,12887,6677,17426,29235,2140,1816,304,160,205,37,207,845,58,435,46,32,38,16,68,224,11,1004,112,90,172,45,222,347,16,87948,13828,8478,12450,6570,16892,27695,2035,298,66,20,22,9,37,124,20
E07000127,West Lancashire,98333,17487,9061,13459,5777,20675,29457,2417,1046,180,60,84,28,208,466,20,336,24,25,35,11,104,132,5,942,120,72,143,34,257,303,13,95640,17069,8880,13173,5686,20063,28406,2363,369,94,24,24,18,43,150,16
E07000128,Wyre,94350,18691,9498,13859,6726,16518,26682,2376,892,186,85,90,28,80,389,34,220,32,12,29,10,30,100,7,632,98,50,112,29,108,219,16,92390,18326,9335,13612,6647,16279,25887,2304,216,49,16,16,12,21,87,15
E08000001,Bolton,232293,52453,24793,32353,14327,38190,63678,6499,41915,12129,4607,5107,767,5400,12165,1740,6990,1473,795,803,235,939,2467,278,3302,487,348,542,154,592,1108,71,176256,37009,18649,25628,13036,30957,46788,4189,3830,1355,394,273,135,302,1150,221
E08000002,Bury,154876,28706,15068,22661,8606,25590,50034,4211,14555,3677,1406,1681,267,1827,5027,670,2660,374,274,310,118,381,1122,81,2669,316,217,458,89,484,1061,44,132314,23747,12930,19959,8060,22612,41722,3284,2678,592,241,253,72,286,1102,132
E08000003,Manchester,437958,86109,34988,45165,15322,79621,164763,11990,84506,18197,7407,8317,1587,12403,32859,3736,45779,8135,4217,5619,1581,7169,17677,1381,17495,2151,1365,2301,522,4279,6556,321,270237,52791,20297,27460,11062,53505,99496,5626,19941,4835,1702,1468,570,2265,8175,926
