geography_code,geography_name,age,gender,Claimant count,Population estimate,Claimants percentage
E14000530,Aldershot,Aged 16+,Total,2085.0,84204.0,2.476129400028502
E14000530,Aldershot,Aged 16-24,Total,320.0,9622.0,3.325711910205779
E14000531,Aldridge-Brownhills,Aged 16+,Total,1300.0,63864.0,2.0355755981460604
E14000531,Aldridge-Brownhills,Aged 16-24,Total,280.0,6827.0,4.101362238171964
E14000532,Altrincham and Sale West,Aged 16+,Total,1255.0,80428.0,1.5604018501019545
E14000532,Altrincham and Sale West,Aged 16-24,Total,195.0,8515.0,2.2900763358778624
E14000533,Amber Valley,Aged 16+,Total,1755.0,76762.0,2.286287485995675
E14000533,Amber Valley,Aged 16-24,Total,315.0,8181.0,3.850385038503851
E14000534,Arundel and South Downs,Aged 16+,Total,1130.0,85385.0,1.3234174620835042
E14000534,Arundel and South Downs,Aged 16-24,Total,160.0,7496.0,2.134471718249733
E14000535,Ashfield,Aged 16+,Total,2540.0,87712.0,2.895840933965706
E14000535,Ashfield,Aged 16-24,Total,565.0,10062.0,5.615185847743987
E14000536,Ashford,Aged 16+,Total,2530.0,99596.0,2.54026266115105
E14000536,Ashford,Aged 16-24,Total,435.0,11540.0,3.7694974003466206
E14000537,Ashton-under-Lyne,Aged 16+,Total,3535.0,74804.0,4.72568311854981
E14000537,Ashton-under-Lyne,Aged 16-24,Total,680.0,9404.0,7.230965546575925
E14000538,Aylesbury,Aged 16+,Total,2475.0,100216.0,2.4696655224714616
E14000538,Aylesbury,Aged 16-24,Total,380.0,11249.0,3.3780780513823454
E14000539,Banbury,Aged 16+,Total,2010.0,101059.0,1.9889371555230115
E14000539,Banbury,Aged 16-24,Total,320.0,11176.0,2.863278453829635
E14000540,Barking,Aged 16+,Total,6890.0,102422.0,6.727070355978208
E14000540,Barking,Aged 16-24,Total,1110.0,15424.0,7.196576763485477
E14000541,Barnsley Central,Aged 16+,Total,2180.0,75771.0,2.8770901796201716
E14000541,Barnsley Central,Aged 16-24,Total,400.0,8564.0,4.670714619336758
E14000542,Barnsley East,Aged 16+,Total,2030.0,77509.0,2.61905069088751
E14000542,Barnsley East,Aged 16-24,Total,465.0,9088.0,5.116637323943662
E14000543,Barrow and Furness,Aged 16+,Total,1460.0,71658.0,2.0374556923162803
E14000543,Barrow and Furness,Aged 16-24,Total,325.0,7899.0,4.11444486643879
E14000544,Basildon and Billericay,Aged 16+,Total,2230.0,75858.0,2.939703129531493
E14000544,Basildon and Billericay,Aged 16-24,Total,440.0,9202.0,4.781569224081721
E14000545,Basingstoke,Aged 16+,Total,2370.0,91957.0,2.577291560185739
E14000545,Basingstoke,Aged 16-24,Total,450.0,10901.0,4.128061645720575
E14000546,Bassetlaw,Aged 16+,Total,2340.0,89119.0,2.6257027121040406
E14000546,Bassetlaw,Aged 16-24,Total,425.0,9511.0,4.468510146146567
E14000547,Bath,Aged 16+,Total,1280.0,85105.0,1.5040244403971563
E14000547,Bath,Aged 16-24,Total,195.0,23420.0,0.8326216908625107
E14000548,Batley and Spen,Aged 16+,Total,3150.0,88208.0,3.5711046617086883
E14000548,Batley and Spen,Aged 16-24,Total,635.0,11062.0,5.740372446212258
E14000549,Battersea,Aged 16+,Total,2960.0,100759.0,2.9377028354787162
E14000549,Battersea,Aged 16-24,Total,355.0,10888.0,3.260470242468773
E14000550,Beaconsfield,Aged 16+,Total,1400.0,82437.0,1.698266555066293
E14000550,Beaconsfield,Aged 16-24,Total,195.0,8097.0,2.408299370137088
E14000551,Beckenham,Aged 16+,Total,1395.0,74838.0,1.8640262968010906
E14000551,Beckenham,Aged 16-24,Total,215.0,7772.0,2.7663407102418938
E14000552,Bedford,Aged 16+,Total,3860.0,84818.0,4.550920795114244
E14000552,Bedford,Aged 16-24,Total,605.0,11045.0,5.4775916704391125
E14000553,Bermondsey and Old Southwark,Aged 16+,Total,5410.0,126678.0,4.270670518953567
E14000553,Bermondsey and Old Southwark,Aged 16-24,Total,710.0,19860.0,3.575025176233636
E14000554,Berwick-upon-Tweed,Aged 16+,Total,1120.0,65961.0,1.6979730446779158
E14000554,Berwick-upon-Tweed,Aged 16-24,Total,215.0,5662.0,3.797244789826916
E14000555,Bethnal Green and Bow,Aged 16+,Total,6755.0,126771.0,5.328505730805942
E14000555,Bethnal Green and Bow,Aged 16-24,Total,1095.0,22913.0,4.778946449613756
E14000556,Beverley and Holderness,Aged 16+,Total,1365.0,84841.0,1.608891927252154
E14000556,Beverley and Holderness,Aged 16-24,Total,265.0,8021.0,3.303827452936043
E14000557,Bexhill and Battle,Aged 16+,Total,1645.0,90934.0,1.8090043328128094
E14000557,Bexhill and Battle,Aged 16-24,Total,300.0,8235.0,3.642987249544627
E14000558,Bexleyheath and Crayford,Aged 16+,Total,1950.0,75791.0,2.5728648520272857
E14000558,Bexleyheath and Crayford,Aged 16-24,Total,360.0,8906.0,4.042218728946778
E14000559,Birkenhead,Aged 16+,Total,3030.0,72548.0,4.17654518387826
E14000559,Birkenhead,Aged 16-24,Total,700.0,9159.0,7.642755759362376
E14000560,"Birmingham, Edgbaston",Aged 16+,Total,4805.0,85991.0,5.5877940714725955
E14000560,"Birmingham, Edgbaston",Aged 16-24,Total,845.0,18161.0,4.652827487473156
E14000561,"Birmingham, Erdington",Aged 16+,Total,6790.0,79924.0,8.49557079225264
E14000561,"Birmingham, Erdington",Aged 16-24,Total,1420.0,11946.0,11.886824041520175
E14000562,"Birmingham, Hall Green",Aged 16+,Total,7420.0,90670.0,8.183522664607919
E14000562,"Birmingham, Hall Green",Aged 16-24,Total,1410.0,16355.0,8.621216753286456
E14000563,"Birmingham, Hodge Hill",Aged 16+,Total,9020.0,91238.0,9.886231614020474
E14000563,"Birmingham, Hodge Hill",Aged 16-24,Total,1840.0,18908.0,9.73133065369156
E14000564,"Birmingham, Ladywood",Aged 16+,Total,13055.0,119062.0,10.96487544304648
E14000564,"Birmingham, Ladywood",Aged 16-24,Total,2265.0,30813.0,7.350793496251582
E14000565,"Birmingham, Northfield",Aged 16+,Total,4605.0,79736.0,5.775308518109763
E14000565,"Birmingham, Northfield",Aged 16-24,Total,1000.0,10958.0,9.125752874612155
E14000566,"Birmingham, Perry Barr",Aged 16+,Total,8140.0,85692.0,9.499136442141623
E14000566,"Birmingham, Perry Barr",Aged 16-24,Total,1495.0,14691.0,10.176298413994962
E14000567,"Birmingham, Selly Oak",Aged 16+,Total,4230.0,90258.0,4.686565179817856
E14000567,"Birmingham, Selly Oak",Aged 16-24,Total,880.0,25291.0,3.479498635878376
E14000568,"Birmingham, Yardley",Aged 16+,Total,6415.0,84974.0,7.5493680419893145
E14000568,"Birmingham, Yardley",Aged 16-24,Total,1345.0,13649.0,9.854201773023664
E14000569,Bishop Auckland,Aged 16+,Total,1860.0,74720.0,2.4892933618843682
E14000569,Bishop Auckland,Aged 16-24,Total,420.0,8250.0,5.090909090909091
E14000570,Blackburn,Aged 16+,Total,4440.0,83668.0,5.306688339628054
E14000570,Blackburn,Aged 16-24,Total,805.0,13330.0,6.03900975243811
E14000571,Blackley and Broughton,Aged 16+,Total,6265.0,90694.0,6.907843958806536
E14000571,Blackley and Broughton,Aged 16-24,Total,955.0,13293.0,7.184232302715715
