date,Sector,key_youth_sectors,wanted_youth_sectors,variable,value
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Real estate activities,False,False,Growth since previous quarter (%),29.1
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Administrative & support service activities,False,False,Growth since previous quarter (%),7.7
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Manufacturing,False,False,Growth since previous quarter (%),-1.5
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Professional scientific & technical activities,False,True,Growth since previous quarter (%),-2.7
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Accommodation & food service activities,True,False,Growth since previous quarter (%),-5.7
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Transport & storage,False,False,Growth since previous quarter (%),-7.1
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Human health & social work activities,True,False,Growth since previous quarter (%),-7.7
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Education,False,False,Growth since previous quarter (%),-8.5
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Arts entertainment & recreation,False,True,Growth since previous quarter (%),-19.8
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Real estate activities,False,False,Growth since pre-coronavirus January to March 2020 (%),1.4
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Administrative & support service activities,False,False,Growth since pre-coronavirus January to March 2020 (%),21.2
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Manufacturing,False,False,Growth since pre-coronavirus January to March 2020 (%),26.5
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Professional scientific & technical activities,False,True,Growth since pre-coronavirus January to March 2020 (%),23.4
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Accommodation & food service activities,True,False,Growth since pre-coronavirus January to March 2020 (%),22.5
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Transport & storage,False,False,Growth since pre-coronavirus January to March 2020 (%),-13.9
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Human health & social work activities,True,False,Growth since pre-coronavirus January to March 2020 (%),16.9
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Education,False,False,Growth since pre-coronavirus January to March 2020 (%),18.2
"December 2023 to February 2024 three-month average vacancies in the UK, quarterly percentage growth from September to November 2023 and percentage growth from pre-coronavirus January to March 2020",Arts entertainment & recreation,False,True,Growth since pre-coronavirus January to March 2020 (%),-30.0
