"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",50,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",65,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",73,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",71,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",66,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",75,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",79,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",82,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",70,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",80,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",85,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",89,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",57,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",73,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",80,,
"AUS","Australia","_T_T_T","All ISCED levels","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_EMPLOYMENT_LIT","Employment rates, by literacy proficiency level ","VALUE","Value","2012","2012",86,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L0T2_T_T","Below upper secondary education","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",,"c","Data below the publication limit"
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",5,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L2","Level (2)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L3","Level (3)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",3,,
"AUS","Australia","L3_4_T_T","Upper secondary education or post-secondary non-tertiary","T","Total","Y25T64","25-64 years","L4_5","Level (4/5)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",4,,
"AUS","Australia","L5T8_T_T","Tertiary education","T","Total","Y25T64","25-64 years","L0_1","Level (0/1)","PIAAC_RATE_UNEMPLOYMENT_LIT","Share of unemployed, by literacy proficiency level ","VALUE","Value","2012","2012",5,,
